antecedent,consequent,support,confidence,lift
WIND=NW,"PM25=Good, RAIN=No",0.16490963855421686,0.5107420494699647,1.8524174109055476
WIND=NW,"PM25=Good, SNOW=No",0.17029481562614093,0.5274204946996467,1.851463934613691
WIND=NW,PM25=Good,0.17031763417305587,0.5274911660777386,1.8483067771800445
"TIME=Afternoon, WIND_SPD=High",PM25=Good,0.043629061701350856,0.5265767006334343,1.8451025288686036
"TEMP=Low, WIND=NW",PM25=Good,0.07934008762322016,0.5167954815695601,1.8108295501962424
"PRES=High, WIND=NE",PM25=Good,0.023252099306316172,0.5164723770907248,1.809697405742698
"DEWP=Low, TIME=Afternoon",PM25=Good,0.048489412194231474,0.5127895752895754,1.7967930237059528
"TEMP=High, WIND=NW",PM25=Good,0.02964129244249726,0.5076201641266119,1.7786796252246455
"SEASON=Autumn, WIND=NW",PM25=Good,0.04470153340635268,0.5034695451040863,1.7641360313937375
"PRES=High, TIME=Afternoon",PM25=Good,0.03632712668857247,0.49812265331664585,1.7454007482968488
"WIND=NE, WIND_SPD=Med",PM25=Good,0.02208835341365462,0.49337410805300713,1.7287620461593496
"DEWP=Low, PRES=High",PM25=Good,0.11600949251551661,0.48368375987061174,1.6948074752194522
"DEWP=Low, TIME=Morning",PM25=Good,0.04102774735304856,0.4832034399355012,1.6931244544441837
"TEMP=Med, WIND_SPD=High",PM25=Good,0.051684008762322015,0.47906091370558374,1.6786092174169267
"PRES=High, SEASON=Spring",PM25=Good,0.021495071193866375,0.4784154393092941,1.6763475023819066
"PRES=Low, WIND=NW",PM25=Good,0.03468419131069733,0.4770872567482737,1.6716936067591226
"SEASON=Summer, WIND=NW",PM25=Good,0.02090178897407813,0.4728962312854931,1.6570084304673742
DEWP=Low,"PM25=Good, RAIN=No",0.1590452719970792,0.4522450038930703,1.640253666358513
"PRES=High, TEMP=Med",PM25=Good,0.03185469149324571,0.46782841823056304,1.6392510274675138
"TIME=Morning, WIND=SE",PM25=Unhealthy,0.020787696239503467,0.4494326591021213,1.6269566208897541
"DEWP=Low, SNOW=No",PM25=Good,0.15890836071558964,0.45650606358570966,1.599577974780534
"SNOW=No, WIND_SPD=High",PM25=Good,0.14816082511865644,0.4544372900335946,1.5923290795900096
"TIME=Night, WIND=NW",PM25=Good,0.04269350127783863,0.45368574199806017,1.5896956870011185
WIND_SPD=High,"PM25=Good, RAIN=No",0.14476086162833152,0.43824260845537444,1.589468184469778
"RAIN=No, WIND_SPD=High",PM25=Good,0.14476086162833152,0.453337144490496,1.5884742160511311
DEWP=Low,"PM25=Good, SNOW=No",0.15890836071558964,0.45185569685959,1.586200261068141
"DEWP=Low, RAIN=No",PM25=Good,0.1590452719970792,0.4523330521124018,1.5849559187474134
DEWP=Low,PM25=Good,0.1590452719970792,0.4522450038930703,1.584647401503951
"DEWP=Med, TEMP=High",PM25=Good,0.033588901058780575,0.4512568976088289,1.5811851187982184
"TIME=Morning, WIND=NW",PM25=Good,0.04965315808689302,0.450891007045172,1.579903053709732
WIND_SPD=High,PM25=Good,0.1486171960569551,0.4499171041724233,1.5764905391582538
WIND_SPD=High,"PM25=Good, SNOW=No",0.14816082511865644,0.44853550704614537,1.574545022492012
"DEWP=High, WIND=SE",PM25=Unhealthy,0.06772544724351953,0.431458060764646,1.5618881591731244
"PRES=Med, WIND=NW",PM25=Good,0.04753103322380431,0.4434745582286566,1.5539161301521267
"PRES=High, TIME=Morning",PM25=Good,0.03771905805038335,0.441388518024032,1.5466067333401439
"DEWP=High, PRES=Med",PM25=Unhealthy,0.03046276013143483,0.4218009478672986,1.5269291871251027
PRES=High,"PM25=Good, RAIN=No",0.12919861263234758,0.4117818181818182,1.493497177853182
"TEMP=High, WIND=SE",PM25=Unhealthy,0.07263143483023,0.4111871851182018,1.4885071204873677
"DEWP=High, TIME=Afternoon",PM25=Unhealthy,0.03028021175611537,0.40994748223663885,1.4840193673829885
"PRES=High, SNOW=No",PM25=Good,0.12960934647681635,0.42255616723701833,1.4806189712157265
"DEWP=Low, TIME=Evening",PM25=Good,0.0313526834611172,0.4208269525267994,1.4745598758722682
"SEASON=Summer, WIND=SE",PM25=Unhealthy,0.05134173055859803,0.40716612377850164,1.4739507854344172
"PRES=Low, WIND=SE",PM25=Unhealthy,0.07025830595107703,0.40700594844679444,1.4733709470289376
"PRES=Med, WIND_SPD=High",PM25=Good,0.041735122307411464,0.41901489117983964,1.4682104894111532
"DEWP=High, TIME=Morning",PM25=Unhealthy,0.03274461482292808,0.40399774774774777,1.4624811909216335
"PRES=High, RAIN=No",PM25=Good,0.12919861263234758,0.41510263929618774,1.4545021239718663
"SEASON=Spring, WIND=SE",PM25=Unhealthy,0.043241146403797004,0.4013980088964202,1.4530700761503978
PRES=High,PM25=Good,0.13004289886820009,0.41447272727272727,1.4522949388342528
PRES=High,"PM25=Good, SNOW=No",0.12960934647681635,0.41309090909090906,1.4501198333867351
"DEWP=Med, WIND=NW",PM25=Good,0.03899689667761957,0.41002879078694815,1.4367235729949002
"SEASON=Winter, TIME=Afternoon",PM25=Good,0.025146038700255568,0.40724316334072436,1.4269628520223798
"PRES=High, SEASON=Autumn",PM25=Good,0.03148959474260679,0.40659988214496173,1.4247088218694173
"PRES=High, SEASON=Winter",PM25=Good,0.07705823293172691,0.4026469536186956,1.4108579271916302
"DEWP=Low, TEMP=Low",PM25=Good,0.10555859802847754,0.4022258934005738,1.4093825499629604
"TIME=Night, WIND_SPD=High",PM25=Good,0.035186199342825845,0.4002076304178562,1.4023106416752322
